num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
140,18,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,4,0,1
141,18,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,5,1,1
142,18,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,6,0,0
143,18,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,7,0,1
144,18,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,8,0,1
145,19,Biología UNC 1°,Resolución Individual,18,M, ,V,C,VC,1,0,0
146,19,Biología UNC 1°,Resolución Individual,18,M, ,V,I,VI,2,1,1
147,19,Biología UNC 1°,Resolución Individual,18,M, ,I,C,IC,3,1,0
148,19,Biología UNC 1°,Resolución Individual,18,M, ,I,I,II,4,0,1
149,19,Biología UNC 1°,Resolución Individual,18,M, ,V,C,VC,5,1,1
150,19,Biología UNC 1°,Resolución Individual,18,M, ,V,I,VI,6,1,1
151,19,Biología UNC 1°,Resolución Individual,18,M, ,I,C,IC,7,1,0
152,19,Biología UNC 1°,Resolución Individual,18,M, ,I,I,II,8,0,1
153,20,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,1,1,1
154,20,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,2,1,1
155,20,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,3,0,1
156,20,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,0,1
157,20,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
158,20,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,1,1
159,20,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,0,1
160,20,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,0,1
161,21,Biología UNC 1°,Resolución Individual,26,F, ,V,C,VC,1,1,1
162,21,Biología UNC 1°,Resolución Individual,26,F, ,V,I,VI,2,1,1
163,21,Biología UNC 1°,Resolución Individual,26,F, ,I,C,IC,3,0,1
164,21,Biología UNC 1°,Resolución Individual,26,F, ,I,I,II,4,0,1
165,21,Biología UNC 1°,Resolución Individual,26,F, ,V,C,VC,5,1,1
166,21,Biología UNC 1°,Resolución Individual,26,F, ,V,I,VI,6,1,1
167,21,Biología UNC 1°,Resolución Individual,26,F, ,I,C,IC,7,1,0
168,21,Biología UNC 1°,Resolución Individual,26,F, ,I,I,II,8,0,1
169,22,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,1,1,1
170,22,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,2,1,1
171,22,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,3,0,1
172,22,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,0,1
173,22,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
174,22,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,1,1
175,22,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,1,0
176,22,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,0,1
177,23,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,1,1,1
178,23,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,2,0,0
179,23,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,3,1,0
180,23,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,0,1
181,23,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
182,23,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,1,1
183,23,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,0,1
184,23,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,0,1
185,24,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,1,1
186,24,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,0,0
187,24,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,1,0
188,24,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,4,0,1
189,24,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,5,1,1
190,24,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,6,0,0
191,24,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,7,1,0
192,24,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,8,0,1
193,25,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,1,1,1
194,25,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,2,1,1
195,25,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,3,0,1
196,25,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,4,0,1
197,25,Biología UNC 1°,Resolución Individual,20,F, ,V,C,VC,5,0,0
198,25,Biología UNC 1°,Resolución Individual,20,F, ,V,I,VI,6,0,0
199,25,Biología UNC 1°,Resolución Individual,20,F, ,I,C,IC,7,1,0
200,25,Biología UNC 1°,Resolución Individual,20,F, ,I,I,II,8,0,1
201,26,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,1,0,0
202,26,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,2,1,1
203,26,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,3,0,1
204,26,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,0,1
205,26,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
206,26,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,1,1
207,26,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,1,0
208,26,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,0,1
209,27,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,1,0,0
210,27,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,2,1,1
211,27,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,3,0,1
212,27,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,4,0,1
213,27,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,5,1,1
214,27,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,6,1,1
215,27,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,7,0,1
216,27,Biología UNC 1°,Resolución Individual,18,F, ,I,I,II,8,0,1
217,28,Biología UNC 1°,Resolución Individual,26,F, ,V,C,VC,1,1,1
218,28,Biología UNC 1°,Resolución Individual,26,F, ,V,I,VI,2,1,1
219,28,Biología UNC 1°,Resolución Individual,26,F, ,I,C,IC,3,0,1
220,28,Biología UNC 1°,Resolución Individual,26,F, ,I,I,II,4,0,1
221,28,Biología UNC 1°,Resolución Individual,26,F, ,V,C,VC,5,1,1
222,28,Biología UNC 1°,Resolución Individual,26,F, ,V,I,VI,6,1,1
223,28,Biología UNC 1°,Resolución Individual,26,F, ,I,C,IC,7,1,0
224,28,Biología UNC 1°,Resolución Individual,26,F, ,I,I,II,8,0,1
225,29,Biología UNC 1°,Resolución Individual,19,M, ,V,C,VC,1,1,1
